City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,ciudad lazaro cardenas,17.9583,-102.2,29.59,57,19,4.8,MX,1717950670
84,kodiak,57.79,-152.4072,6.73,100,100,10.29,US,1717950877
85,longyearbyen,78.2186,15.6401,3.91,65,75,6.17,SJ,1717950873
86,port elizabeth,-33.918,25.5701,13.39,84,0,1.03,ZA,1717950704
87,tazovsky,67.4667,78.7,1.91,81,65,2.64,RU,1717950880
88,ushuaia,-54.8,-68.3,0.79,80,20,1.54,AR,1717950840
89,jamestown,42.097,-79.2353,18.9,59,75,6.17,US,1717950706
90,wailua homesteads,22.0669,-159.378,23.44,82,100,4.12,US,1717950965
91,pisco,-13.7,-76.2167,17.03,94,100,3.6,PE,1717950880
92,ceeldheer,3.8488,47.1806,26.14,77,100,10.1,SO,1717950965
93,lysekil,58.2743,11.4358,12.84,77,46,14.94,SE,1717950966
94,qaqortoq,60.7167,-46.0333,6.26,96,100,1.66,GL,1717950876
95,uri,34.0833,74.0333,20.79,43,43,3.11,IN,1717950966
96,papatowai,-46.5619,169.4708,9.97,95,100,5.55,NZ,1717950966
97,whitehorse,60.7161,-135.0538,17.67,30,75,4.63,CA,1717950875
98,eslov,55.8393,13.3039,13.14,81,73,7.1,SE,1717950966
99,edinburgh of the seven seas,-37.0676,-12.3116,14.24,83,100,8.23,SH,1717950966
100,badger,64.8,-147.5333,20.6,48,75,2.06,US,1717950967
101,invercargill,-46.4,168.35,8.34,96,100,5.36,NZ,1717950967
102,boysun,38.2061,67.1986,24.06,29,54,2.58,UZ,1717950967
103,tolanaro,-25.0319,46.9987,17.04,94,75,1.54,MG,1717950967
104,amahai,-3.3333,128.9167,25.47,89,92,2.65,ID,1717950967
105,port lincoln,-34.7333,135.8667,14.91,55,100,3.13,AU,1717950967
106,newman,37.3138,-121.0208,23.46,51,37,0.69,US,1717950849
107,hotan,37.0997,79.9269,23.46,30,87,1.0,CN,1717950967
108,arar,30.9753,41.0381,41.01,6,0,3.6,SA,1717950967
109,codrington,-38.2667,141.9667,6.14,92,7,2.94,AU,1717950968
110,bontang,0.1333,117.5,27.18,82,98,1.79,ID,1717950968
111,saint-philippe,-21.3585,55.7679,22.77,82,48,4.68,RE,1717950955
112,jatiroto,-7.8833,111.1167,23.64,93,98,1.36,ID,1717950968
113,jinxiang,27.4327,120.6062,22.86,99,100,0.94,CN,1717950968
114,inarajan village,13.2736,144.7484,28.54,91,56,5.22,GU,1717950968
115,zunyi,27.6867,106.9072,18.78,97,100,0.94,CN,1717950968
116,dampit,-8.2116,112.7493,21.83,100,64,0.82,ID,1717950968
117,nizhneudinsk,54.9076,99.0276,12.89,96,65,1.9,RU,1717950893
118,celestun,20.8667,-90.4,31.9,61,99,4.73,MX,1717950968
119,port mathurin,-19.6833,63.4167,24.3,82,64,7.99,MU,1717950873
120,angaur state,6.906,134.13,29.14,74,40,3.99,PW,1717950969
121,mejit,10.2753,170.8646,27.99,80,42,6.6,MH,1717950969
122,katsuura,35.1333,140.3,19.01,84,100,2.88,JP,1717950893
123,guerrero negro,27.9769,-114.0611,19.41,63,7,5.23,MX,1717950946
124,zamora,-4.0692,-78.9567,29.58,65,100,1.89,EC,1717950969
125,ridder,50.355,83.5133,15.38,88,24,1.88,KZ,1717950969
126,kuanda,56.3161,116.0806,8.61,74,11,0.2,RU,1717950895
127,gornopravdinsk,60.05,69.9,14.14,63,29,1.26,RU,1717950959
128,bom jesus,-9.0744,-44.3586,35.99,24,21,3.64,BR,1717950969
129,peace river,56.2501,-117.286,10.17,87,100,3.09,CA,1717950970
130,gaspe,48.8334,-64.4819,13.12,94,100,2.57,CA,1717950945
131,ketchikan,55.3422,-131.6461,12.97,40,75,3.09,US,1717950970
132,east london,-33.0153,27.9116,13.52,88,0,1.54,ZA,1717950970
133,manokwari,-0.8667,134.0833,26.02,78,94,1.59,ID,1717950970
134,hadibu,12.65,54.0333,28.95,73,54,6.69,YE,1717950970
135,coyhaique,-45.5752,-72.0662,6.34,100,100,0.78,CL,1717950970
136,tromso,69.6496,18.957,14.01,58,75,7.2,NO,1717950897
137,argostolion,38.1811,20.489,28.04,54,0,3.09,GR,1717950970
138,touros,-5.1989,-35.4608,28.09,75,67,7.24,BR,1717950951
139,la passe,45.5549,-0.8967,24.13,74,75,7.77,FR,1717950885
140,south boston,42.3334,-71.0495,15.15,91,100,3.6,US,1717950971
141,bilibino,68.0546,166.4372,6.13,61,3,1.43,RU,1717950971
142,pizarro,4.9533,-77.366,28.01,81,93,1.81,CO,1717950971
143,holualoa,19.6228,-155.9522,23.26,83,40,1.54,US,1717950952
144,mount pleasant,32.7941,-79.8626,34.03,46,0,4.63,US,1717950971
145,lake havasu city,34.4839,-114.3224,35.34,16,49,8.23,US,1717950971
146,blackmans bay,-43.0167,147.3167,5.85,86,31,0.45,AU,1717950873
147,na klang,17.3072,102.1889,24.79,97,100,2.68,TH,1717950971
148,plattsmouth,41.0114,-95.8822,26.25,43,0,2.68,US,1717950971
149,bubaque,11.2833,-15.8333,26.76,79,82,3.83,GW,1717950879
150,poyarkovo,49.6,128.6833,11.74,89,7,2.58,RU,1717950972
151,college,64.8569,-147.8028,20.65,47,75,2.06,US,1717950872
152,bikenibeu village,1.3673,173.1241,27.98,83,20,2.06,KI,1717950972
153,kurumkan,54.3,110.3,16.74,47,93,2.68,RU,1717950972
154,georgetown,5.4112,100.3354,28.96,69,40,4.63,MY,1717950950
155,santa ana,33.7456,-117.8678,20.8,79,100,2.57,US,1717950972
156,brisas de zicatela,15.8369,-97.0419,31.29,70,75,1.54,MX,1717950957
157,keflavik,64.0049,-22.5624,10.24,57,0,5.14,IS,1717950941
158,waddan,29.1614,16.139,36.85,11,0,2.35,LY,1717950973
159,tidjikja,18.5564,-11.4271,40.4,18,85,4.93,MR,1717950973
160,port blair,11.6667,92.75,24.02,94,100,2.57,IN,1717950973
161,huaicheng,23.9051,112.1931,23.73,98,100,0.41,CN,1717950973
162,suva,-18.1416,178.4415,17.71,100,75,1.54,FJ,1717950791
163,lorengau,-2.0226,147.2712,27.56,80,39,1.86,PG,1717950944
164,arvayheer,46.2639,102.775,13.51,53,63,4.21,MN,1717950973
165,arkhangel'sk,64.5401,40.5433,16.06,51,20,2.0,RU,1717950946
166,igarka,67.4667,86.5833,11.68,79,99,4.02,RU,1717950893
167,sultanpur,26.2667,82.0667,37.61,15,4,3.68,IN,1717950973
168,ca mau,9.1769,105.15,26.02,83,100,1.99,VN,1717950973
169,ambon,-3.6954,128.1814,25.08,94,75,2.06,ID,1717950974
170,selma,36.5708,-119.6121,28.46,53,0,3.6,US,1717950974
171,kenai,60.5544,-151.2583,13.34,63,0,4.63,US,1717950941
172,la paz,-16.5,-68.15,16.43,18,66,2.06,BO,1717950740
173,kandalaksha,67.162,32.4123,11.13,76,41,2.98,RU,1717950974
174,buenavista,8.9769,125.4089,24.45,90,100,1.61,PH,1717950974
175,lebu,-37.6167,-73.65,12.96,85,49,7.41,CL,1717950697
176,brookings,44.3114,-96.7984,22.81,45,0,3.6,US,1717950928
177,galle,6.0367,80.217,27.38,83,97,5.35,LK,1717950806
178,nsanje,-16.92,35.262,19.8,72,77,2.66,MW,1717950975
179,miles city,46.4083,-105.8406,16.54,51,40,5.66,US,1717950975
180,siocon,7.7061,122.1353,26.59,87,100,1.51,PH,1717950975
181,tutong,4.8,114.65,29.05,87,98,1.38,BN,1717950975
182,yuzhno-kurilsk,44.0306,145.8556,11.32,93,99,3.75,RU,1717950975
183,susuman,62.7833,148.1667,3.88,58,94,0.89,RU,1717950975
184,zymohiria,48.5857,38.9273,22.73,64,98,1.64,UA,1717950976
185,nabire,-3.3667,135.4833,24.33,95,81,1.53,ID,1717950953
186,wad rawah,15.1603,33.1397,33.27,34,71,8.94,SD,1717950976
187,chaoyang,41.5703,120.4586,20.35,44,31,1.28,CN,1717950976
188,allapalli,19.4167,80.0667,30.45,62,45,1.99,IN,1717950976
189,terenos,-20.4422,-54.8603,31.84,37,0,8.75,BR,1717950976
190,san patricio,28.017,-97.5169,34.74,43,3,5.67,US,1717950880
191,coquimbo,-29.9533,-71.3436,15.85,76,0,1.03,CL,1717950720
192,flin flon,54.7682,-101.865,9.91,62,20,2.06,CA,1717950976
193,klyuchi,52.2667,79.1667,18.0,67,64,3.94,RU,1717950976
194,nar'yan-mar,67.6713,53.087,5.06,71,100,4.92,RU,1717950977
195,tadmur,34.5608,38.2805,30.28,24,63,6.27,SY,1717950977
196,cestos city,5.46,-9.5828,27.41,81,67,3.37,LR,1717950977
197,gilgit,35.9221,74.3087,20.39,43,38,1.5,PK,1717950977
198,palikir - national government center,6.9248,158.1611,25.41,94,100,1.54,FM,1717950887
199,bodaybo,57.8506,114.1933,8.17,87,7,0.98,RU,1717950732
200,anadyr,64.75,177.4833,0.28,100,0,3.0,RU,1717950977
201,sosnovyy bor,59.9,29.1167,14.36,94,100,4.51,RU,1717950977
202,mbandjok,4.45,11.9,23.68,90,88,2.5,CM,1717950978
203,vorkuta,67.5,64.0,2.28,96,100,1.79,RU,1717950878
204,bamboo flat,11.7,92.7167,24.05,94,100,2.57,IN,1717950897
205,selfoss,63.9331,-20.9971,12.22,51,47,5.3,IS,1717950941
206,vangviang,18.9333,102.45,22.3,99,100,0.38,LA,1717950978
207,kerikeri,-35.2268,173.9474,17.73,95,100,4.47,NZ,1717950978
208,sinop,41.7711,34.8709,16.89,82,0,0.79,TR,1717950978
209,laascaanood,8.4774,47.3597,27.67,47,26,12.14,SO,1717950978
210,castillos,-34.1667,-53.8333,24.03,71,97,6.45,UY,1717950978
211,capitan bado,-23.2667,-55.5333,32.49,23,74,8.5,PY,1717950979
212,cidade velha,14.9167,-23.6167,28.26,51,20,10.29,CV,1717950979
213,eastham,41.8301,-69.9739,19.97,84,100,1.54,US,1717950979
214,waingapu,-9.6567,120.2641,23.6,86,3,3.94,ID,1717950979
215,steinkjer,64.193,11.3851,12.52,57,100,2.6,NO,1717950979
216,polyarnyy,69.1989,33.4478,7.87,76,15,7.4,RU,1717950789
217,kavaratti,10.5669,72.642,28.06,84,100,5.85,IN,1717950979
218,mikun',62.3547,50.0771,13.34,77,91,4.27,RU,1717950979
219,vila velha,-20.3297,-40.2925,28.31,99,20,2.57,BR,1717950558
220,guarapari,-20.6667,-40.4975,25.39,59,29,5.3,BR,1717950980
221,lazaro cardenas,17.9583,-102.2,29.59,57,19,4.8,MX,1717950880
222,urangan,-25.3,152.9,14.0,72,19,2.68,AU,1717950980
223,saint-pierre,-21.3393,55.4781,22.82,73,0,4.63,RE,1717950892
224,el bayadh,33.6832,1.0193,26.98,22,82,4.56,DZ,1717950980
225,galliano,29.4422,-90.2992,33.33,65,100,0.0,US,1717950980
226,fort mcmurray,56.7268,-111.381,10.77,71,100,2.06,CA,1717950980
227,antsiranana,-12.2787,49.2917,23.55,71,31,6.35,MG,1717950896
228,chuhar jamali,24.3895,67.9923,30.08,69,0,6.87,PK,1717950980
